Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level,Stress_Level_Num,Work_Life_Balance_Score,Non_Study_Hours_Per_Day
6.8,1.2,9.0,4.9,2.1,3.12,Moderate,2,0.9855072463768115,8.2
9.0,2.6,8.5,3.1,0.8,4.0,High,3,0.6046511627906976,6.5
9.5,1.4,6.9,0.6,5.6,3.33,High,3,0.7898089171974522,7.6
7.3,2.2,6.4,3.5,4.6,3.11,Moderate,2,0.948051948051948,10.3
5.2,0.1,9.1,2.2,7.4,2.79,Low,1,0.7027027027027026,9.700000000000001
8.8,0.9,8.1,0.5,5.7,3.1,High,3,0.8266666666666667,7.1000000000000005
5.3,2.1,7.7,3.8,5.1,2.39,Low,1,0.7464788732394367,10.999999999999998
9.0,1.1,7.2,0.5,6.2,3.39,High,3,0.8535031847133758,7.800000000000001
5.1,3.9,9.2,4.0,1.8,2.52,Low,1,0.9357798165137615,9.7
5.8,1.0,7.7,4.3,5.2,2.8,Low,1,0.7581699346405228,10.5
8.3,1.1,9.8,3.5,1.3,3.67,High,3,0.732824427480916,5.9
7.1,1.0,6.8,4.5,4.6,3.27,Moderate,2,0.8765432098765432,10.1
5.1,0.5,5.2,0.2,13.0,2.85,High,3,0.5573770491803278,13.7
7.4,0.4,7.5,2.8,5.9,3.26,Moderate,2,0.9192546583850932,9.1
5.9,1.7,7.0,3.7,5.7,2.8,Low,1,0.7712418300653595,11.1
6.9,2.5,7.5,5.1,2.0,3.06,Moderate,2,0.9857142857142858,9.6
8.3,0.7,5.4,3.9,5.7,3.26,High,3,0.9273743016759777,10.299999999999999
9.7,2.3,6.9,3.3,1.8,3.38,High,3,0.6891891891891893,7.3999999999999995
7.3,2.2,9.7,1.9,2.9,3.15,Moderate,2,0.7933884297520661,7.0
5.4,1.3,9.2,0.1,8.0,2.69,Low,1,0.8,9.4
9.1,1.1,5.6,4.2,4.0,3.54,High,3,0.9479768786127167,9.299999999999999
8.7,3.2,6.4,1.0,4.7,3.37,High,3,0.7916666666666667,8.9
8.8,3.2,10.0,0.8,1.2,3.58,High,3,0.37037037037037035,5.2
6.7,3.7,9.3,1.8,2.5,2.89,Moderate,2,0.7818181818181817,8.0
8.8,3.0,5.5,5.4,1.3,3.58,High,3,0.864516129032258,9.7
6.6,3.6,6.9,0.1,6.8,2.99,Moderate,2,0.9777777777777777,10.5
9.5,0.4,6.6,5.7,1.8,3.44,High,3,0.8823529411764706,7.9
8.2,1.8,6.5,2.0,5.5,3.35,High,3,0.9554140127388535,9.3
8.4,3.0,9.0,2.8,0.8,3.26,High,3,0.5999999999999999,6.6
5.3,2.2,7.2,5.3,4.0,2.62,Low,1,0.7260273972602739,11.5
6.8,0.5,5.7,4.6,6.4,2.86,High,3,0.7640449438202247,11.5
5.4,2.8,5.4,4.9,5.5,2.86,High,3,0.6835443037974683,13.2
8.5,0.3,5.4,5.9,3.9,2.99,High,3,0.9289617486338797,10.100000000000001
9.1,3.8,9.9,0.9,0.3,3.08,High,3,0.23300970873786409,5.0
6.9,0.3,8.9,3.4,4.5,3.21,Moderate,2,0.9324324324324325,8.200000000000001
5.6,2.0,5.1,2.8,8.5,2.81,High,3,0.6627218934911242,13.3
5.3,0.5,5.6,3.9,8.7,2.9,High,3,0.5921787709497207,13.1
9.8,1.5,6.4,5.2,1.1,3.78,High,3,0.782608695652174,7.800000000000001
6.1,3.9,5.1,5.8,3.1,2.96,High,3,0.8133333333333334,12.8
5.4,2.2,9.8,3.1,3.5,2.81,Low,1,0.9,8.8
8.1,2.8,7.3,3.6,2.2,3.39,High,3,0.8345323741007195,8.600000000000001
5.2,1.1,9.8,5.3,2.6,2.82,Low,1,0.7938931297709924,9.0
7.3,2.5,6.4,1.1,6.7,2.67,Moderate,2,0.966887417218543,10.3
7.9,0.3,9.9,5.8,0.1,3.08,Moderate,2,0.8550724637681159,6.199999999999999
8.5,2.1,6.5,4.9,2.0,3.1,High,3,0.8961038961038961,9.0
9.6,3.3,9.7,1.0,0.4,3.54,High,3,0.2545454545454545,4.699999999999999
8.1,1.7,9.7,3.9,0.6,3.45,High,3,0.7142857142857143,6.2
9.9,0.6,8.0,2.1,3.4,3.39,High,3,0.7142857142857143,6.1
9.8,3.4,9.2,0.7,0.9,3.15,High,3,0.2807017543859649,5.0
5.3,3.5,9.1,6.0,0.1,2.68,Low,1,0.9298245614035088,9.6
10.0,2.2,8.8,2.8,0.2,3.41,High,3,0.46153846153846156,5.2
7.3,0.5,9.8,3.6,2.8,3.22,Moderate,2,0.9343065693430657,6.9
6.1,2.7,8.1,2.1,5.0,2.98,Moderate,2,0.9242424242424243,9.8
7.6,3.1,7.6,4.9,0.8,2.99,Moderate,2,0.8571428571428572,8.8
7.8,2.2,9.4,1.9,2.7,3.3,Moderate,2,0.7419354838709677,6.8
8.5,0.9,5.7,0.1,8.8,3.55,High,3,0.9770114942528736,9.8
6.8,2.4,7.0,2.6,5.2,2.97,Moderate,2,0.9315068493150684,10.200000000000001
7.6,3.1,7.0,3.7,2.6,3.28,Moderate,2,0.9064748201438849,9.4
9.3,3.8,5.7,4.8,0.4,3.05,High,3,0.7172413793103447,9.0
7.3,3.9,7.5,1.7,3.6,3.08,Moderate,2,0.8412698412698413,9.2
8.2,1.0,5.4,0.8,8.6,3.3,High,3,0.9318181818181818,10.4
5.9,1.4,9.5,2.8,4.4,2.7,Low,1,0.900763358778626,8.6
8.3,0.7,6.0,0.2,8.8,3.14,High,3,0.9595375722543353,9.7
5.9,0.4,5.6,2.8,9.3,2.73,High,3,0.6555555555555554,12.500000000000002
6.0,1.5,7.5,4.1,4.9,2.76,Moderate,2,0.8,10.5
9.4,3.7,5.3,1.6,4.0,3.45,High,3,0.7466666666666666,9.3
9.0,3.0,5.9,1.3,4.8,3.29,High,3,0.8079470198675496,9.1
8.1,1.5,7.3,4.5,2.6,2.75,High,3,0.9342105263157895,8.6
5.2,1.0,8.6,5.4,3.8,3.4,Low,1,0.7222222222222223,10.2
5.5,1.8,7.7,1.5,7.5,3.05,Low,1,0.7586206896551724,10.8
6.3,1.5,5.1,1.9,9.2,2.82,High,3,0.7241379310344828,12.6
5.6,3.6,8.0,4.1,2.7,2.62,Low,1,0.9032258064516129,10.4
8.9,2.0,5.4,3.2,4.5,3.64,High,3,0.927710843373494,9.7
7.2,0.5,6.4,2.2,7.7,3.19,Moderate,2,0.8421052631578947,10.4
8.2,2.3,6.8,5.9,0.8,2.95,High,3,0.8993288590604027,9.0
5.5,0.6,6.2,1.0,10.7,2.94,Low,1,0.6395348837209303,12.299999999999999
5.9,1.1,5.9,5.4,5.7,2.89,High,3,0.6941176470588235,12.200000000000001
7.1,3.9,5.6,2.4,5.0,2.9,High,3,0.9793103448275862,11.3
9.8,3.5,9.1,0.4,1.2,3.57,High,3,0.2807017543859649,5.1
9.6,2.2,7.9,1.2,3.1,3.24,High,3,0.6187050359712232,6.5
8.8,0.7,6.6,2.6,5.3,2.99,High,3,0.9461077844311377,8.6
5.6,2.4,6.4,3.5,6.1,2.85,Low,1,0.7368421052631579,12.0
5.8,1.9,7.7,0.3,8.3,2.7,Low,1,0.8055555555555555,10.500000000000002
5.3,4.0,6.6,4.9,3.2,2.72,Low,1,0.7910447761194028,12.100000000000001
6.3,2.7,8.8,3.6,2.6,2.45,Moderate,2,0.992,8.9
6.7,3.7,9.2,4.2,0.2,2.85,Moderate,2,0.7927927927927928,8.100000000000001
5.6,2.9,9.7,1.1,4.7,2.86,Low,1,0.9824561403508771,8.700000000000001
7.9,3.4,5.7,4.8,2.2,3.15,High,3,0.9395973154362416,10.4
6.0,0.7,5.8,4.9,6.6,2.96,High,3,0.6857142857142857,12.2
6.8,3.5,7.0,4.9,1.8,3.44,Moderate,2,0.9925925925925926,10.2
7.2,1.5,7.3,1.8,6.2,3.08,Moderate,2,0.9473684210526315,9.5
6.2,3.6,6.9,3.3,4.0,3.27,Moderate,2,0.9185185185185186,10.9
9.5,2.5,5.6,5.6,0.8,3.13,High,3,0.8050314465408805,8.899999999999999
5.7,3.2,8.1,3.2,3.8,3.08,Low,1,0.8976377952755905,10.2
9.5,3.2,5.8,1.7,3.8,3.59,High,3,0.7333333333333334,8.7
5.2,2.3,8.8,5.3,2.4,2.61,Low,1,0.806201550387597,10.0
6.7,3.3,5.6,5.1,3.3,2.95,High,3,0.8874172185430464,11.7
9.0,0.6,6.1,4.3,4.0,3.15,High,3,0.9595375722543353,8.9
8.6,2.6,8.5,2.3,2.0,3.14,High,3,0.6666666666666667,6.9
5.9,3.6,7.9,2.4,4.2,2.64,Low,1,0.9440000000000001,10.2
7.3,3.8,5.8,3.5,3.6,3.58,High,3,0.9861111111111112,10.899999999999999
5.1,3.5,9.7,3.2,2.5,2.79,Low,1,0.9444444444444444,9.2
8.5,3.7,8.5,0.5,2.8,3.65,High,3,0.559322033898305,7.0
7.1,2.9,9.7,4.0,0.3,3.33,Moderate,2,0.7543859649122807,7.199999999999999
7.3,0.5,9.9,5.0,1.3,3.11,Moderate,2,0.9264705882352942,6.8
8.0,1.6,5.3,2.0,7.1,3.42,High,3,0.9356725146198831,10.7
9.0,0.0,6.7,2.4,5.9,3.51,High,3,0.9595375722543353,8.3
6.7,1.4,8.7,2.7,4.5,3.02,Moderate,2,0.9640287769784173,8.6
6.1,1.8,5.7,1.1,9.3,2.38,High,3,0.7393939393939394,12.200000000000001
9.6,1.4,7.9,3.2,1.9,3.43,High,3,0.6938775510204082,6.5
5.1,2.7,5.9,5.8,4.5,2.71,High,3,0.6623376623376622,13.0
5.4,4.0,7.5,3.6,3.5,2.59,Low,1,0.8640000000000001,11.1
5.3,3.0,6.0,5.4,4.3,2.68,Low,1,0.7066666666666666,12.7
5.2,1.9,7.8,0.4,8.7,2.67,Low,1,0.7272727272727273,11.0
8.9,1.8,7.6,2.5,3.2,3.58,High,3,0.7808219178082192,7.5
5.8,0.7,9.3,5.7,2.5,2.46,Low,1,0.8285714285714286,8.899999999999999
6.9,1.1,8.2,2.5,5.3,3.22,Moderate,2,0.9387755102040817,8.9
5.1,0.9,6.2,4.0,7.8,3.02,Low,1,0.6035502958579881,12.700000000000001
5.1,0.4,9.0,1.1,8.4,2.52,Low,1,0.6986301369863014,9.9
5.5,1.0,8.6,5.1,3.8,2.97,Low,1,0.763888888888889,9.899999999999999
9.2,1.6,8.3,1.0,3.9,3.5,High,3,0.6950354609929078,6.5
5.1,0.3,6.0,0.2,12.4,2.7,Low,1,0.576271186440678,12.9
5.9,2.3,7.1,5.4,3.3,2.78,Low,1,0.8082191780821918,11.0
6.3,1.5,8.0,1.6,6.6,3.15,Moderate,2,0.8689655172413794,9.7
8.1,1.6,7.8,2.6,3.9,3.26,High,3,0.8904109589041096,8.1
8.8,0.6,9.3,2.6,2.7,3.3,High,3,0.75177304964539,5.9
9.5,3.2,7.1,0.1,4.1,3.49,High,3,0.6131386861313868,7.3999999999999995
8.2,1.0,5.7,5.0,4.1,2.89,High,3,0.9479768786127167,10.1
9.9,2.1,5.9,1.6,4.5,3.52,High,3,0.7625,8.2
6.4,2.2,8.3,5.0,2.1,2.76,Moderate,2,0.9481481481481483,9.3
6.0,0.0,5.7,5.4,6.9,2.95,High,3,0.6557377049180327,12.3
8.0,2.7,5.9,5.5,1.9,3.4,High,3,0.961038961038961,10.100000000000001
7.1,1.5,7.6,0.3,7.5,3.17,Moderate,2,0.9530201342281879,9.3
5.4,2.4,6.2,2.3,7.7,2.66,Low,1,0.7012987012987013,12.4
6.4,1.4,8.6,1.8,5.8,2.77,Moderate,2,0.9142857142857144,9.0
8.3,3.7,8.7,0.7,2.6,3.77,High,3,0.5689655172413792,7.0
5.2,1.0,8.0,0.3,9.5,3.29,Low,1,0.6933333333333334,10.8
6.7,3.1,5.5,0.5,8.2,2.99,High,3,0.8701298701298702,11.799999999999999
8.6,2.0,8.4,2.2,2.8,3.43,High,3,0.7352941176470589,7.0
9.0,2.8,6.4,3.4,2.4,3.24,High,3,0.7837837837837838,8.6
6.8,0.4,9.6,0.8,6.4,3.01,Moderate,2,0.9714285714285714,7.6000000000000005
5.9,2.2,9.4,4.4,2.1,3.01,Low,1,0.9516129032258065,8.7
9.0,2.6,8.5,3.3,0.6,3.34,High,3,0.6046511627906976,6.5
6.1,4.0,9.7,0.2,4.0,2.58,Moderate,2,0.8155339805825244,8.2
8.5,3.7,5.9,3.4,2.5,3.06,High,3,0.8194444444444445,9.600000000000001
9.6,3.9,9.7,0.4,0.4,3.65,High,3,0.15384615384615385,4.7
9.3,3.4,6.6,3.9,0.8,3.41,High,3,0.6714285714285715,8.1
6.2,0.5,5.4,4.2,7.7,2.84,High,3,0.6850828729281768,12.4
6.7,2.9,5.3,1.9,7.2,3.29,High,3,0.8481012658227849,12.0
6.6,2.5,9.4,3.4,2.1,3.03,Moderate,2,0.9090909090909092,8.0
6.2,0.1,9.4,0.1,8.2,2.95,Moderate,2,0.8551724137931036,8.399999999999999
9.7,3.2,10.0,0.4,0.7,3.67,High,3,0.20370370370370372,4.300000000000001
8.8,1.6,7.4,3.8,2.4,3.23,High,3,0.8266666666666665,7.799999999999999
7.1,3.0,6.2,0.7,7.0,3.36,Moderate,2,0.9594594594594594,10.7
6.8,1.1,6.5,1.4,8.2,3.01,Moderate,2,0.8292682926829268,10.7
6.9,2.7,6.1,5.7,2.6,3.08,Moderate,2,0.9078947368421053,11.0
8.9,0.4,7.1,5.3,2.3,3.33,High,3,0.9212121212121211,8.0
8.1,0.7,10.0,1.2,4.0,3.35,High,3,0.7819548872180452,5.9
9.7,2.6,8.0,1.9,1.8,3.33,High,3,0.5522388059701493,6.300000000000001
6.1,0.7,8.9,2.1,6.2,2.81,Moderate,2,0.8472222222222221,9.0
5.3,3.9,9.4,5.0,0.4,3.08,Low,1,0.9906542056074766,9.3
8.5,0.6,9.1,1.3,4.5,3.16,High,3,0.8111888111888113,6.3999999999999995
6.1,2.1,8.0,3.5,4.3,2.79,Moderate,2,0.8776978417266187,9.9
9.4,3.8,9.3,1.2,0.3,3.33,High,3,0.27522935779816504,5.3
8.3,2.2,5.4,2.5,5.6,2.97,High,3,0.9878048780487805,10.3
8.6,2.0,5.4,1.3,6.7,3.14,High,3,0.963855421686747,10.0
8.4,0.3,9.3,3.0,3.0,3.77,High,3,0.8333333333333334,6.3
9.1,1.4,8.4,2.9,2.2,3.26,High,3,0.7183098591549295,6.5
6.3,3.5,9.0,3.4,1.8,3.11,Moderate,2,0.9043478260869565,8.7
8.5,2.7,8.1,3.5,1.2,3.38,High,3,0.7121212121212122,7.4
5.8,3.5,9.4,0.2,5.1,2.84,Low,1,0.954954954954955,8.8
6.7,3.0,5.8,4.9,3.6,3.03,High,3,0.8815789473684211,11.5
9.2,2.0,5.0,1.7,6.1,3.42,High,3,0.9176470588235295,9.8
8.2,1.0,8.2,3.2,3.4,3.24,High,3,0.8918918918918919,7.6
8.9,0.4,8.8,3.2,2.7,3.32,High,3,0.7972972972972974,6.300000000000001
8.2,3.7,5.5,5.6,1.0,3.29,High,3,0.8918918918918919,10.3
8.4,0.3,6.5,4.2,4.6,3.29,High,3,0.9767441860465116,9.100000000000001
6.7,2.5,5.2,5.2,4.4,2.86,High,3,0.8220858895705521,12.100000000000001
9.9,3.9,8.7,0.2,1.3,3.8,High,3,0.26315789473684215,5.4
8.4,1.8,6.4,6.0,1.4,3.25,High,3,0.9367088607594937,9.200000000000001
7.1,1.8,5.8,4.8,4.5,2.86,High,3,0.8658536585365852,11.100000000000001
5.4,2.7,8.3,1.6,6.0,2.95,Low,1,0.8307692307692308,10.3
9.8,0.6,7.2,5.7,0.7,3.84,High,3,0.7901234567901234,7.0
7.0,1.1,9.9,2.5,3.5,2.84,Moderate,2,0.923076923076923,7.1
9.5,0.9,6.1,0.2,7.3,3.17,High,3,0.8823529411764706,8.4
9.3,1.9,9.8,0.6,2.4,3.68,High,3,0.48780487804878037,4.9
9.3,3.1,8.9,2.3,0.4,3.52,High,3,0.44999999999999996,5.8
5.7,0.1,9.6,3.7,4.9,3.12,Low,1,0.7972027972027971,8.700000000000001
9.0,1.9,5.6,0.8,6.7,3.21,High,3,0.9090909090909092,9.4
6.0,2.0,5.3,3.5,7.2,3.26,High,3,0.7185628742514971,12.7
6.3,3.2,6.6,2.7,5.2,2.85,Moderate,2,0.8873239436619719,11.100000000000001
8.0,1.2,8.5,5.2,1.1,2.72,Moderate,2,0.8811188811188811,7.500000000000001
8.9,0.2,7.4,0.6,6.9,3.33,High,3,0.9146341463414633,7.7
8.1,2.8,7.8,0.1,5.2,2.98,High,3,0.791044776119403,8.1
6.6,2.1,5.4,2.1,7.8,2.79,High,3,0.7999999999999999,12.0
7.8,2.8,9.0,0.9,3.5,3.11,Moderate,2,0.7213114754098362,7.2
5.8,0.4,8.2,4.2,5.4,2.88,Low,1,0.7532467532467532,10.000000000000002
8.5,3.5,8.6,2.7,0.7,3.15,High,3,0.5714285714285714,6.9
6.7,3.3,5.4,5.4,3.2,3.27,High,3,0.8758169934640523,11.900000000000002
7.3,2.6,7.6,4.4,2.1,3.13,Moderate,2,0.9420289855072463,9.1
5.4,0.2,6.2,1.0,11.2,2.75,Low,1,0.6136363636363636,12.399999999999999
9.9,1.3,5.9,4.7,2.2,3.57,High,3,0.8214285714285714,8.200000000000001
8.3,2.0,7.8,4.2,1.7,3.25,High,3,0.8309859154929577,7.9
6.0,2.7,5.4,0.2,9.7,2.92,High,3,0.7547169811320755,12.599999999999998
6.3,1.9,9.3,4.4,2.1,2.85,Moderate,2,0.984375,8.4
6.7,1.5,9.9,0.2,5.7,3.32,Moderate,2,0.9365079365079365,7.4
9.3,2.3,7.2,3.8,1.4,3.61,High,3,0.7172413793103447,7.499999999999999
9.5,1.7,6.4,3.6,2.8,3.42,High,3,0.8050314465408805,8.1
9.6,0.8,8.1,3.5,2.0,3.31,High,3,0.728476821192053,6.3
8.6,3.6,5.9,1.4,4.5,3.37,High,3,0.8137931034482759,9.5
9.9,0.7,9.3,2.0,2.1,3.59,High,3,0.5857142857142857,4.8
7.2,2.1,6.8,3.6,4.3,3.01,Moderate,2,0.9536423841059603,10.0
5.8,1.6,9.8,1.5,5.3,2.61,Low,1,0.9206349206349207,8.4
8.9,0.5,9.8,2.2,2.6,3.57,High,3,0.7007299270072993,5.300000000000001
6.2,0.3,5.8,3.1,8.6,3.13,High,3,0.6927374301675977,12.0
7.2,1.0,8.1,4.2,3.5,2.98,Moderate,2,0.9664429530201343,8.7
5.8,0.7,5.2,4.4,7.9,2.81,High,3,0.6408839779005524,13.0
9.2,3.2,7.9,3.2,0.5,3.8,High,3,0.5736434108527132,6.9
6.0,0.4,6.3,0.3,11.0,3.05,Moderate,2,0.6936416184971098,11.700000000000001
5.2,0.5,7.3,5.6,5.4,2.79,Low,1,0.6419753086419753,11.5
6.6,2.0,5.2,0.9,9.3,3.17,High,3,0.7857142857142857,12.200000000000001
7.3,2.1,7.4,4.0,3.2,3.16,Moderate,2,0.993103448275862,9.3
5.7,0.1,6.5,4.2,7.5,2.98,Low,1,0.6551724137931034,11.799999999999999
9.8,0.4,8.4,2.4,3.0,3.26,High,3,0.7105263157894737,5.800000000000001
9.3,0.7,8.5,4.6,0.9,3.43,High,3,0.7432432432432432,6.2
7.5,2.5,9.3,2.7,2.0,3.2,Moderate,2,0.7704918032786885,7.2
5.2,3.7,8.4,4.1,2.6,2.91,Low,1,0.8739495798319328,10.399999999999999
7.0,2.6,5.5,3.9,5.0,2.82,High,3,0.880503144654088,11.5
10.0,0.2,9.9,1.6,2.3,3.56,High,3,0.5611510791366907,4.1
7.8,3.0,9.4,1.5,2.3,3.25,Moderate,2,0.6551724137931034,6.8
6.6,2.7,9.0,4.3,1.4,2.93,Moderate,2,0.9268292682926829,8.399999999999999
9.1,0.5,7.7,0.0,6.7,3.64,High,3,0.8481012658227849,7.2
6.6,1.5,7.0,4.2,4.7,2.79,Moderate,2,0.8516129032258064,10.4
6.2,1.5,6.1,0.4,9.8,2.5,Moderate,2,0.7560975609756098,11.700000000000001
8.0,2.7,8.1,2.4,2.8,3.4,Moderate,2,0.7878787878787878,7.8999999999999995
7.6,1.9,5.1,2.0,7.4,3.08,High,3,0.8941176470588235,11.3
6.9,1.6,7.9,3.2,4.4,3.31,Moderate,2,0.9517241379310345,9.200000000000001
9.1,2.9,9.8,0.0,2.2,3.48,High,3,0.3893805309734514,5.1
6.0,0.0,8.2,5.4,4.4,2.92,Moderate,2,0.7594936708860759,9.8
5.3,3.7,6.8,0.6,7.6,2.78,Low,1,0.7851851851851852,11.899999999999999
7.4,1.0,6.4,1.8,7.4,3.15,Moderate,2,0.891566265060241,10.200000000000001
6.6,2.4,8.6,1.6,4.8,3.27,Moderate,2,0.9846153846153847,8.8
7.1,0.5,5.9,4.1,6.4,3.09,High,3,0.8068181818181819,11.0
8.5,0.4,7.8,1.5,5.8,3.01,High,3,0.9240506329113923,7.7
9.8,1.9,9.0,1.8,1.5,3.5,High,3,0.5038167938931297,5.199999999999999
9.8,2.4,9.1,2.4,0.3,3.38,High,3,0.43199999999999994,5.1
6.1,0.8,8.1,2.5,6.5,2.67,Moderate,2,0.8079470198675497,9.8
8.9,1.1,9.1,2.1,2.8,3.2,High,3,0.7101449275362319,6.0
8.3,0.4,8.1,2.7,4.5,3.01,High,3,0.9290322580645161,7.6000000000000005
8.7,3.5,6.1,0.5,5.2,3.37,High,3,0.7916666666666667,9.2
5.1,2.6,8.0,3.3,5.0,2.65,Low,1,0.7611940298507462,10.9
8.0,2.0,9.9,0.6,3.5,2.93,Moderate,2,0.6776859504132231,6.1
8.5,1.6,7.1,4.3,2.5,3.39,High,3,0.8888888888888888,8.4
6.4,0.3,5.4,5.4,6.5,3.29,High,3,0.6994535519125683,12.200000000000001
6.0,1.3,6.1,2.1,8.5,2.91,Moderate,2,0.7228915662650602,11.9
5.3,3.2,6.2,3.2,6.1,2.64,Low,1,0.7260273972602739,12.5
9.4,2.6,7.7,1.4,2.9,3.66,High,3,0.6277372262773722,6.9
10.0,2.6,7.8,2.6,1.0,3.26,High,3,0.5294117647058822,6.2
7.3,0.2,7.8,5.7,3.0,3.2,Moderate,2,0.9125000000000001,8.899999999999999
6.0,2.1,5.5,2.7,7.7,2.72,High,3,0.7317073170731707,12.5
8.8,1.4,8.3,4.4,1.1,3.1,High,3,0.7692307692307692,6.9
10.0,3.7,7.7,2.2,0.4,3.44,High,3,0.4126984126984127,6.300000000000001
7.6,2.5,5.4,4.5,4.0,3.17,High,3,0.9440993788819876,11.0
8.9,2.8,5.2,1.8,5.3,3.3,High,3,0.8875,9.899999999999999
6.3,1.4,5.4,5.6,5.3,2.58,High,3,0.7325581395348838,12.299999999999999
7.0,1.8,8.0,3.1,4.1,3.15,Moderate,2,0.9859154929577465,9.0
9.6,2.0,10.0,2.0,0.4,3.46,High,3,0.4,4.4
6.9,3.5,9.3,3.5,0.8,3.02,Moderate,2,0.7678571428571429,7.8
9.0,1.2,5.4,2.4,6.0,3.46,High,3,0.9655172413793104,9.6
6.7,3.9,8.2,4.3,0.9,2.83,Moderate,2,0.8739495798319328,9.1
5.7,3.4,9.6,2.6,2.7,3.13,Low,1,0.9636363636363637,8.700000000000001
